Time	α	β	φ	θ	CA	CN	CY	Cl	Cn	Cm	
0.001	54.97777014    	0.04408687     	0.04948369     	0.00000000     	0.70494885     	0.50103940     	0.08522686     	-0.00223185    	-0.00342311    	-0.02089635    	
0.002	54.97834898    	0.04406487     	0.04945994     	0.00000000     	0.70505228     	0.50110461     	0.08521225     	-0.00222351    	-0.00341190    	-0.02091750    	
0.003	54.97913052    	0.04404298     	0.04943625     	0.00000000     	0.70515912     	0.50116904     	0.08519767     	-0.00221533    	-0.00340095    	-0.02093942    	
0.004	54.98011437    	0.04402121     	0.04941263     	0.00000000     	0.70526935     	0.50123267     	0.08518311     	-0.00220732    	-0.00339024    	-0.02096210    	
0.005	54.98130019    	0.04399957     	0.04938909     	0.00000000     	0.70538301     	0.50129554     	0.08516857     	-0.00219948    	-0.00337977    	-0.02098553    	
0.006	54.98268757    	0.04397806     	0.04936563     	0.00000000     	0.70550010     	0.50135768     	0.08515408     	-0.00219181    	-0.00336956    	-0.02100971    	
0.007	54.98427612    	0.04395667     	0.04934226     	0.00000000     	0.70562063     	0.50141908     	0.08513963     	-0.00218432    	-0.00335959    	-0.02103465    	
0.008	54.98606544    	0.04393543     	0.04931899     	0.00000000     	0.70574460     	0.50147976     	0.08512522     	-0.00217700    	-0.00334987    	-0.02106034    	
0.009	54.98805511    	0.04391434     	0.04929582     	0.00000000     	0.70587206     	0.50153977     	0.08511088     	-0.00216986    	-0.00334041    	-0.02108675    	
0.010	54.99024472    	0.04389340     	0.04927277     	0.00000000     	0.70600297     	0.50159910     	0.08509659     	-0.00216288    	-0.00333119    	-0.02111391    	
0.011	54.99263382    	0.04387261     	0.04924984     	0.00000000     	0.70613741     	0.50165778     	0.08508237     	-0.00215609    	-0.00332222    	-0.02114180    	
0.012	54.99522196    	0.04385199     	0.04922704     	0.00000000     	0.70627533     	0.50171582     	0.08506823     	-0.00214947    	-0.00331351    	-0.02117043    	
0.013	54.99800869    	0.04383154     	0.04920437     	0.00000000     	0.70641677     	0.50177323     	0.08505418     	-0.00214303    	-0.00330504    	-0.02119976    	
0.014	55.00099354    	0.04381125     	0.04918184     	0.00000000     	0.70656172     	0.50183004     	0.08504021     	-0.00213676    	-0.00329683    	-0.02122984    	
