Time	α	β	φ	θ	CA	CN	CY	Cl	Cn	Cm	
0.001	54.97777014    	0.04408687     	0.04948369     	0.00000000     	-0.00571233    	0.86490052     	0.08468440     	-0.00404176    	-0.00019724    	-0.02090168    	
0.002	54.97834898    	0.04406487     	0.04945994     	0.00000000     	-0.00571515    	0.86502255     	0.08466998     	-0.00402769    	-0.00019775    	-0.02092281    	
0.003	54.97913052    	0.04404298     	0.04943625     	0.00000000     	-0.00571842    	0.86514691     	0.08465559     	-0.00401392    	-0.00019826    	-0.02094471    	
0.004	54.98011437    	0.04402121     	0.04941263     	0.00000000     	-0.00572216    	0.86527356     	0.08464122     	-0.00400045    	-0.00019874    	-0.02096737    	
0.005	54.98130019    	0.04399957     	0.04938909     	0.00000000     	-0.00572636    	0.86540256     	0.08462686     	-0.00398729    	-0.00019922    	-0.02099078    	
0.006	54.98268757    	0.04397806     	0.04936563     	0.00000000     	-0.00573104    	0.86553394     	0.08461254     	-0.00397444    	-0.00019967    	-0.02101494    	
0.007	54.98427612    	0.04395667     	0.04934226     	0.00000000     	-0.00573619    	0.86566769     	0.08459826     	-0.00396189    	-0.00020012    	-0.02103985    	
0.008	54.98606544    	0.04393543     	0.04931899     	0.00000000     	-0.00574181    	0.86580383     	0.08458402     	-0.00394965    	-0.00020054    	-0.02106552    	
0.009	54.98805511    	0.04391434     	0.04929582     	0.00000000     	-0.00574792    	0.86594242     	0.08456983     	-0.00393771    	-0.00020095    	-0.02109191    	
0.010	54.99024472    	0.04389340     	0.04927277     	0.00000000     	-0.00575453    	0.86608342     	0.08455571     	-0.00392609    	-0.00020134    	-0.02111905    	
0.011	54.99263382    	0.04387261     	0.04924984     	0.00000000     	-0.00576161    	0.86622693     	0.08454164     	-0.00391477    	-0.00020172    	-0.02114692    	
0.012	54.99522196    	0.04385199     	0.04922704     	0.00000000     	-0.00576918    	0.86637291     	0.08452765     	-0.00390376    	-0.00020208    	-0.02117553    	
0.013	54.99800869    	0.04383154     	0.04920437     	0.00000000     	-0.00577724    	0.86652137     	0.08451374     	-0.00389307    	-0.00020242    	-0.02120485    	
0.014	55.00099354    	0.04381125     	0.04918184     	0.00000000     	-0.00578580    	0.86667236     	0.08449991     	-0.00388268    	-0.00020274    	-0.02123490    	
0.015	55.00417604    	0.04379115     	0.04915945     	0.00000000     	-0.00579485    	0.86682591     	0.08448619     	-0.00387260    	-0.00020305    	-0.02126566    	
0.016	55.00755572    	0.04377122     	0.04913721     	0.00000000     	-0.00580440    	0.86698202     	0.08447256     	-0.00386284    	-0.00020333    	-0.02129714    	
0.017	55.01113206    	0.04375148     	0.04911513     	0.00000000     	-0.00581444    	0.86714072     	0.08445904     	-0.00385338    	-0.00020360    	-0.02132932    	
0.018	55.01490456    	0.04373194     	0.04909322     	0.00000000     	-0.00582499    	0.86730200     	0.08444565     	-0.00384424    	-0.00020385    	-0.02136221    	
0.019	55.01887270    	0.04371259     	0.04907147     	0.00000000     	-0.00583604    	0.86746592     	0.08443239     	-0.00383540    	-0.00020408    	-0.02139580    	
0.020	55.02303598    	0.04369343     	0.04904989     	0.00000000     	-0.00584760    	0.86763244     	0.08441926     	-0.00382687    	-0.00020429    	-0.02143008    	
0.021	55.02739384    	0.04367448     	0.04902849     	0.00000000     	-0.00585965    	0.86780166     	0.08440628     	-0.00381865    	-0.00020448    	-0.02146504    	
0.022	55.03194577    	0.04365574     	0.04900728     	0.00000000     	-0.00587221    	0.86797352     	0.08439345     	-0.00381074    	-0.00020465    	-0.02150068    	
0.023	55.03669118    	0.04363721     	0.04898625     	0.00000000     	-0.00588527    	0.86814807     	0.08438079     	-0.00380313    	-0.00020480    	-0.02153701    	
0.024	55.04162953    	0.04361889     	0.04896541     	0.00000000     	-0.00589884    	0.86832532     	0.08436831     	-0.00379584    	-0.00020493    	-0.02157401    	
0.025	55.04676025    	0.04360078     	0.04894476     	0.00000000     	-0.00591292    	0.86850529     	0.08435601     	-0.00378884    	-0.00020505    	-0.02161167    	
0.026	55.05208276    	0.04358290     	0.04892432     	0.00000000     	-0.00592750    	0.86868799     	0.08434389     	-0.00378215    	-0.00020514    	-0.02164999    	
0.027	55.05759646    	0.04356524     	0.04890407     	0.00000000     	-0.00594258    	0.86887346     	0.08433198     	-0.00377576    	-0.00020521    	-0.02168897    	
0.028	55.06330078    	0.04354780     	0.04888403     	0.00000000     	-0.00595817    	0.86906168     	0.08432031     	-0.00376966    	-0.00020526    	-0.02172860    	
0.029	55.06919510    	0.04353061     	0.04886421     	0.00000000     	-0.00597427    	0.86925270     	0.08430883     	-0.00376387    	-0.00020529    	-0.02176887    	
0.030	55.07527881    	0.04351363     	0.04884459     	0.00000000     	-0.00599085    	0.86944649     	0.08429759     	-0.00375838    	-0.00020530    	-0.02180978    	
0.031	55.08155128    	0.04349689     	0.04882519     	0.00000000     	-0.00600794    	0.86964309     	0.08428660     	-0.00375318    	-0.00020528    	-0.02185132    	
0.032	55.08801189    	0.04348039     	0.04880600     	0.00000000     	-0.00602554    	0.86984252     	0.08427586     	-0.00374827    	-0.00020525    	-0.02189348    	
0.033	55.09466001    	0.04346413     	0.04878704     	0.00000000     	-0.00604363    	0.87004480     	0.08426538     	-0.00374365    	-0.00020520    	-0.02193627    	
0.034	55.10149497    	0.04344811     	0.04876830     	0.00000000     	-0.00606222    	0.87024992     	0.08425518     	-0.00373932    	-0.00020512    	-0.02197966    	
0.035	55.10851614    	0.04343234     	0.04874979     	0.00000000     	-0.00608130    	0.87045790     	0.08424525     	-0.00373528    	-0.00020503    	-0.02202366    	
0.036	55.11572284    	0.04341681     	0.04873150     	0.00000000     	-0.00610088    	0.87066875     	0.08423563     	-0.00373153    	-0.00020491    	-0.02206826    	
