theta	phi	psi	alpha	beta	CD	CL	Cy	Cmx	Cmy	Cmz
29.95806000     -14.94797000    0.00000000      29.11214100     -7.40067870     0.50269428      0.85309094      0.07793394      -0.01100783     -0.01482082     0.07150266     
29.95807500     -14.94744000    0.00000000      29.11221588     -7.40042422     0.50271216      0.85319197      0.07795340      -0.01103036     -0.01483393     0.07150878     
29.95807500     -14.94691500    0.00000000      29.11227546     -7.40016880     0.50272913      0.85329214      0.07797311      -0.01105293     -0.01484708     0.07151508     
29.95807500     -14.94638000    0.00000000      29.11233616     -7.39990851     0.50274543      0.85339124      0.07799304      -0.01107553     -0.01486025     0.07152153     
29.95807500     -14.94585000    0.00000000      29.11239630     -7.39965065     0.50276104      0.85348928      0.07801315      -0.01109818     -0.01487347     0.07152814     
29.95807500     -14.94532500    0.00000000      29.11245587     -7.39939522     0.50277596      0.85358619      0.07803345      -0.01112086     -0.01488670     0.07153493     
29.95807500     -14.94479500    0.00000000      29.11251600     -7.39913736     0.50279014      0.85368200      0.07805394      -0.01114357     -0.01489997     0.07154185     
29.95807500     -14.94426500    0.00000000      29.11257613     -7.39887951     0.50280371      0.85377677      0.07807461      -0.01116631     -0.01491326     0.07154887     
29.95807500     -14.94374000    0.00000000      29.11263569     -7.39862408     0.50281653      0.85387032      0.07809545      -0.01118907     -0.01492658     0.07155605     
29.95807500     -14.94321000    0.00000000      29.11269582     -7.39836622     0.50282869      0.85396278      0.07811649      -0.01121185     -0.01493992     0.07156336     
29.95807500     -14.94268000    0.00000000      29.11275594     -7.39810836     0.50284012      0.85405407      0.07813773      -0.01123464     -0.01495328     0.07157074     
29.95807500     -14.94215500    0.00000000      29.11281550     -7.39785293     0.50285088      0.85414423      0.07815913      -0.01125746     -0.01496666     0.07157830     
29.95807500     -14.94162500    0.00000000      29.11287562     -7.39759507     0.50286093      0.85423313      0.07818072      -0.01128027     -0.01498006     0.07158590     
29.95807500     -14.94109500    0.00000000      29.11293574     -7.39733721     0.50287027      0.85432083      0.07820251      -0.01130310     -0.01499348     0.07159364     
29.95807500     -14.94056500    0.00000000      29.11299585     -7.39707934     0.50287897      0.85440739      0.07822445      -0.01132592     -0.01500691     0.07160145     
29.96001000     -14.94004000    0.00000000      29.11495650     -7.39725974     0.50291561      0.85447644      0.07823908      -0.01134853     -0.01502061     0.07160930     
29.96001000     -14.93820000    0.00000000      29.11516519     -7.39636446     0.50292423      0.85455921      0.07826673      -0.01137108     -0.01503409     0.07161768     
29.95874500     -14.93635500    0.00000000      29.11413156     -7.39518189     0.50291333      0.85465134      0.07829941      -0.01139376     -0.01504741     0.07162618     
29.95874500     -14.93355500    0.00000000      29.11444903     -7.39381954     0.50292150      0.85473067      0.07833129      -0.01141609     -0.01506091     0.07163499     
29.95874500     -14.92945500    0.00000000      29.11491379     -7.39182465     0.50293032      0.85480746      0.07836856      -0.01143813     -0.01507445     0.07164427     
29.95874500     -14.92665000    0.00000000      29.11523168     -7.39045984     0.50293713      0.85488425      0.07840079      -0.01146042     -0.01508797     0.07165319     
29.95874500     -14.92384000    0.00000000      29.11555008     -7.38909257     0.50294326      0.85495976      0.07843320      -0.01148268     -0.01510148     0.07166220     
29.95874500     -14.92105000    0.00000000      29.11586614     -7.38773503     0.50294865      0.85503390      0.07846567      -0.01150493     -0.01511500     0.07167123     
29.95874500     -14.91824500    0.00000000      29.11618385     -7.38637017     0.50295341      0.85510687      0.07849839      -0.01152714     -0.01512852     0.07168030     
29.95874500     -14.91545000    0.00000000      29.11650037     -7.38501017     0.50295744      0.85517839      0.07853123      -0.01154930     -0.01514203     0.07168939     
29.95874500     -14.91265000    0.00000000      29.11681739     -7.38364772     0.50296082      0.85524862      0.07856421      -0.01157144     -0.01515554     0.07169853     
29.95874500     -14.90985500    0.00000000      29.11713378     -7.38228769     0.50296353      0.85531750      0.07859735      -0.01159353     -0.01516904     0.07170764     
29.95874500     -14.90705000    0.00000000      29.11745125     -7.38092278     0.50296558      0.85538511      0.07863070      -0.01161557     -0.01518253     0.07171678     
29.95874500     -14.90424500    0.00000000      29.11776866     -7.37955785     0.50296696      0.85545129      0.07866418      -0.01163756     -0.01519601     0.07172597     
29.95874500     -14.90145000    0.00000000      29.11808487     -7.37819778     0.50296764      0.85551614      0.07869776      -0.01165949     -0.01520947     0.07173511     
29.95874500     -14.89865000    0.00000000      29.11840159     -7.37683526     0.50296770      0.85557962      0.07873151      -0.01168137     -0.01522291     0.07174426     
29.95981000     -14.89584000    0.00000000      29.11976584     -7.37570704     0.50298293      0.85563281      0.07876132      -0.01170305     -0.01523649     0.07175339     
29.95658000     -14.89216000    0.00000000      29.11700816     -7.37319100     0.50293452      0.85571975      0.07881138      -0.01172499     -0.01524945     0.07176289     
29.95658000     -14.88736500    0.00000000      29.11755014     -7.37085776     0.50293463      0.85577723      0.07885363      -0.01174625     -0.01526286     0.07177265     
29.95658000     -14.88257500    0.00000000      29.11809138     -7.36852691     0.50293410      0.85583328      0.07889599      -0.01176744     -0.01527625     0.07178235     
29.95658000     -14.87778000    0.00000000      29.11863301     -7.36619359     0.50293293      0.85588795      0.07893850      -0.01178853     -0.01528961     0.07179202     
29.95658000     -14.87298500    0.00000000      29.11917446     -7.36386023     0.50293111      0.85594121      0.07898115      -0.01180956     -0.01530295     0.07180168     
29.95658000     -14.86819500    0.00000000      29.11971517     -7.36152927     0.50292865      0.85599317      0.07902391      -0.01183049     -0.01531625     0.07181128     
29.95658000     -14.86339000    0.00000000      29.12025740     -7.35919096     0.50292558      0.85604360      0.07906684      -0.01185132     -0.01532951     0.07182086     
29.95658000     -14.85599000    0.00000000      29.12109212     -7.35558975     0.50292454      0.85609020      0.07912039      -0.01187152     -0.01534278     0.07183120     
29.95658000     -14.85119000    0.00000000      29.12163333     -7.35325377     0.50292023      0.85613788      0.07916354      -0.01189217     -0.01535597     0.07184065     
29.95658000     -14.84640000    0.00000000      29.12217324     -7.35092263     0.50291535      0.85618416      0.07920673      -0.01191270     -0.01536912     0.07185005     
29.95658000     -14.84160500    0.00000000      29.12271354     -7.34858901     0.50290988      0.85622905      0.07925005      -0.01193313     -0.01538223     0.07185938     
29.95658000     -14.83680000    0.00000000      29.12325479     -7.34625048     0.50290378      0.85627249      0.07929352      -0.01195345     -0.01539529     0.07186862     
29.95658000     -14.83201500    0.00000000      29.12379361     -7.34392165     0.50289710      0.85631455      0.07933701      -0.01197366     -0.01540830     0.07187781     
29.95658000     -14.82721000    0.00000000      29.12433450     -7.34158304     0.50288990      0.85635523      0.07938067      -0.01199373     -0.01542126     0.07188689     
29.95787500     -14.82242000    0.00000000      29.12614621     -7.33954110     0.50290137      0.85638368      0.07941935      -0.01201353     -0.01543436     0.07189585     
29.95787500     -14.81663500    0.00000000      29.12679699     -7.33672532     0.50289398      0.85642056      0.07946718      -0.01203316     -0.01544723     0.07190513     
29.95787500     -14.81087500    0.00000000      29.12744471     -7.33392164     0.50288601      0.85645605      0.07951497      -0.01205266     -0.01546005     0.07191425     
29.95787500     -14.80401500    0.00000000      29.12821579     -7.33058247     0.50287857      0.85648907      0.07956728      -0.01207179     -0.01547282     0.07192366     
