theta	phi	psi	alpha	beta	CA	CN	CY	Cl	Cn	Cm
29.95806000     -14.94797000    0.00000000      29.11214100     -7.40067870     0.01171334      0.98296904      0.14203543      -0.01377911     -0.00929070     0.07523827     
29.95807500     -14.94744000    0.00000000      29.11221588     -7.40042422     0.01167675      0.98306503      0.14205487      -0.01380485     -0.00929136     0.07525353     
29.95807500     -14.94691500    0.00000000      29.11227546     -7.40016880     0.01164003      0.98315982      0.14207442      -0.01383065     -0.00929204     0.07526899     
29.95807500     -14.94638000    0.00000000      29.11233616     -7.39990851     0.01160322      0.98325334      0.14209406      -0.01385648     -0.00929272     0.07528460     
29.95807500     -14.94585000    0.00000000      29.11239630     -7.39965065     0.01156631      0.98334558      0.14211382      -0.01388236     -0.00929342     0.07530039     
29.95807500     -14.94532500    0.00000000      29.11245587     -7.39939522     0.01152934      0.98343650      0.14213370      -0.01390827     -0.00929414     0.07531637     
29.95807500     -14.94479500    0.00000000      29.11251600     -7.39913736     0.01149223      0.98352609      0.14215365      -0.01393422     -0.00929486     0.07533249     
29.95807500     -14.94426500    0.00000000      29.11257613     -7.39887951     0.01145507      0.98361447      0.14217369      -0.01396020     -0.00929560     0.07534872     
29.95807500     -14.94374000    0.00000000      29.11263569     -7.39862408     0.01141786      0.98370139      0.14219383      -0.01398620     -0.00929635     0.07536512     
29.95807500     -14.94321000    0.00000000      29.11269582     -7.39836622     0.01138057      0.98378705      0.14221406      -0.01401223     -0.00929711     0.07538166     
29.95807500     -14.94268000    0.00000000      29.11275594     -7.39810836     0.01134319      0.98387131      0.14223439      -0.01403828     -0.00929789     0.07539827     
29.95807500     -14.94215500    0.00000000      29.11281550     -7.39785293     0.01130577      0.98395425      0.14225482      -0.01406435     -0.00929868     0.07541506     
29.95807500     -14.94162500    0.00000000      29.11287562     -7.39759507     0.01126832      0.98403573      0.14227533      -0.01409043     -0.00929949     0.07543190     
29.95807500     -14.94109500    0.00000000      29.11293574     -7.39733721     0.01123083      0.98411583      0.14229594      -0.01411652     -0.00930031     0.07544887     
29.95807500     -14.94056500    0.00000000      29.11299585     -7.39707934     0.01119331      0.98419459      0.14231662      -0.01414261     -0.00930114     0.07546591     
29.96001000     -14.94004000    0.00000000      29.11495650     -7.39725974     0.01115574      0.98427185      0.14233738      -0.01416871     -0.00930199     0.07548306     
29.96001000     -14.93820000    0.00000000      29.11516519     -7.39636446     0.01111818      0.98434771      0.14235827      -0.01419480     -0.00930285     0.07550026     
29.95874500     -14.93635500    0.00000000      29.11413156     -7.39518189     0.01108057      0.98442212      0.14237920      -0.01422089     -0.00930373     0.07551754     
29.95874500     -14.93355500    0.00000000      29.11444903     -7.39381954     0.01104296      0.98449509      0.14240025      -0.01424697     -0.00930461     0.07553486     
29.95874500     -14.92945500    0.00000000      29.11491379     -7.39182465     0.01100540      0.98456660      0.14242133      -0.01427303     -0.00930552     0.07555225     
29.95874500     -14.92665000    0.00000000      29.11523168     -7.39045984     0.01096781      0.98463666      0.14244252      -0.01429907     -0.00930643     0.07556965     
