time	theta	phi	psi	alpha	beta	CD	CL	Cy	Cmx	Cmy	Cmz
0.00100000      29.99641938     -29.67469688    0.00566125      26.63868354     -14.32586098    nan             nan             nan             nan             nan             nan            
0.00200000      29.99646938     -29.67466437    0.00616062      26.63893478     -14.32548071    nan             nan             nan             nan             nan             nan            
0.00300000      29.99660250     -29.67105250    0.00632750      26.63994840     -14.32379055    nan             nan             nan             nan             nan             nan            
0.00400000      29.99660250     -29.66556188    0.00632750      26.64120142     -14.32132860    nan             nan             nan             nan             nan             nan            
0.00500000      29.99660250     -29.66006875    0.00632750      26.64245478     -14.31886542    nan             nan             nan             nan             nan             nan            
0.00600000      29.99660250     -29.65457375    0.00632750      26.64370832     -14.31640129    nan             nan             nan             nan             nan             nan            
0.00700000      29.99660250     -29.64907500    0.00632750      26.64496248     -14.31393537    nan             nan             nan             nan             nan             nan            
0.00800000      29.99660250     -29.64358250    0.00632750      26.64621497     -14.31147215    nan             nan             nan             nan             nan             nan            
0.00900000      29.99660250     -29.63809000    0.00632750      26.64746723     -14.30900882    nan             nan             nan             nan             nan             nan            
0.01000000      29.99660250     -29.63259250    0.00632750      26.64872039     -14.30654313    nan             nan             nan             nan             nan             nan            
0.01100000      29.99660250     -29.62709500    0.00632750      26.64997330     -14.30407735    nan             nan             nan             nan             nan             nan            
0.01200000      29.99660250     -29.62159625    0.00632750      26.65122627     -14.30161089    nan             nan             nan             nan             nan             nan            
0.01300000      29.99660250     -29.61610687    0.00632750      26.65247686     -14.29914853    nan             nan             nan             nan             nan             nan            
0.01400000      29.99660250     -29.61061500    0.00632750      26.65372778     -14.29668494    nan             nan             nan             nan             nan             nan            
0.01500000      29.99660250     -29.60511813    0.00632750      26.65497960     -14.29421901    nan             nan             nan             nan             nan             nan            
0.01600000      29.99572188     -29.59962125    0.00616125      26.65535019     -14.29149337    nan             nan             nan             nan             nan             nan            
0.01700000      29.99593875     -29.58785125    0.00582875      26.65809895     -14.28656695    nan             nan             nan             nan             nan             nan            
0.01800000      29.99594063     -29.55856312    0.00566250      26.66469713     -14.27355491    nan             nan             nan             nan             nan             nan            
0.01900000      29.99605125     -29.53059750    0.00566250      26.67115446     -14.26105217    nan             nan             nan             nan             nan             nan            
0.02000000      29.99605125     -29.50739187    0.00566250      26.67642299     -14.25063492    nan             nan             nan             nan             nan             nan            
0.02100000      29.99605125     -29.48417000    0.00566250      26.68169094     -14.24020848    nan             nan             nan             nan             nan             nan            
0.02200000      29.99605125     -29.46091625    0.00566250      26.68696186     -14.22976581    nan             nan             nan             nan             nan             nan            
